Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Журавель,Ярослав,,Чоловік,1943-06-02,Льотчик,хутір Валки ,"парк Фестивальний, буд. 927, Дубровиця, 38005",099 427 49 54,ukybkalo@example.net
Баран,Лесь,,Чоловік,1975-04-30,Юрист,місто Камінь-Каширський,"проспект Моторний 1-й, буд. 62 кв. 809, Лубни, 69242",+380 19 108 25 23,heorhii58@example.net
Чабан,Єлисей,,Чоловік,1956-03-17,Музикант,село Кіцмань,"узвіз Десятого квітня, буд. 9, Хорол , 90451",020 067-16-82,wostapchuk@example.net
Іваненко,Ігор,,Чоловік,1981-11-05,Ювелір,місто Хрустальний,"узвіз Рівності, буд. 841 кв. 368, Харцизьк, 20534",023 017-78-13,ykovpak@example.org
Чарниш,Валентин,,Чоловік,2002-04-08,Кінолог,селище Новодружеськ,"сквер Авдєєва-Чорноморського, буд. 404, Заставна, 77121",666-52-31,albertverkhovynets@example.org
Баран,Ярослав,,Чоловік,1954-02-03,Дантист,місто Сватове,"вулиця Асєєва Юрія, буд. 09, Миколаївка , 06225",+380 (35) 802-14-61,onishchukviktor@example.net
Пелех,Мартин,,Чоловік,1998-12-13,Кур'єр,хутір Червоносів,"вулиця Проектований 3-й, буд. 059 кв. 54, Боково-Хрустальне, 63313",+380 37 865 46 99,havrylo40@example.net
Гаврилишин,Варфоломій,,Чоловік,1981-06-07,Модельєр,село Білогірськ,"набережна Самарська, буд. 210 кв. 79, Чорноморськ, 37977",077 878-52-20,darahanonysym@example.net
Вовк,Спас,,Чоловік,1997-02-25,Кіноактор,селище Жовква,"вулиця М’ясоєдовська, буд. 70, Іллінці, 50215",+380 37 041-03-34,leopoldnehoda@example.com
Юхименко,Демʼян,,Чоловік,1967-04-12,Географ,селище Південне ,"шосе Восьмого березня узвіз, буд. 550, Берегове, 84194",004 168 81 46,prytulanataliia@example.net
Шморгун,Юхим,,Чоловік,1965-12-01,Швачка,хутір Чигирин,"площа Рибальський, буд. 71 кв. 05, Покровськ, 22683",+380 30 002 17 44,azar28@example.com
Москаль,Йосип,,Чоловік,1981-06-11,Геолог,місто Монастирище,"провулок Заводська 3-тя, буд. 98 кв. 828, Стрий, 32476",+380 27 138-69-31,iosyp85@example.net
Слюсар,Мартин,,Чоловік,1939-12-13,Музикознавець,селище Старий Крим,"сквер Аптекарський, буд. 7 кв. 4, Білозерське, 36371",299-66-43,leontereshchenko@example.com
Свириденко,Аркадій,,Чоловік,2004-11-06,Скульптор,місто Білопілля,"проспект Зелений, буд. 92, Васильків, 09518",159 98 76,viktoriiaabramenko@example.org
Стець,Кирило,,Чоловік,1986-10-14,Біолог,хутір Славутич,"площа Висока, буд. 179 кв. 89, Семенівка, 99347",+380 10 547 65 26,jmasokha@example.com
Лавренко,Пилип,,Чоловік,1957-02-01,Ґрунтознавець,хутір Узин,"вулиця Ботанічний, буд. 89, Сокиряни, 66013",076 583-59-22,tymchenkookhrim@example.net
Чаленко,Олесь,,Чоловік,1999-11-14,Агроном,хутір Буринь,"площа Юннатів 1-й, буд. 333, Любомль, 47083",081 65 50,vbevz@example.com
Величко,Олександр,,Чоловік,1954-04-28,Мікробіолог,село Покров,"набережна Чорноморка, буд. 72, Миколаїв, 08604",253-84-39,makardutka@example.com
Ємельяненко,Олесь,,Чоловік,1955-10-29,Музичний редактор,село Вільнянськ,"провулок Приморський, буд. 5 кв. 925, Судак , 91096",083 940 46 15,ovsiienkoiakiv@example.net
Бгиденко,Лукʼян,,Чоловік,1973-12-27,Кухар,селище Ізяслав,"провулок Писарева, буд. 751 кв. 13, П'ятихатки, 27542",+380 71 855-64-28,venedykt03@example.net
Шеремета,Єлисей,,Чоловік,2001-08-14,Стиліст,місто Берегове,"вулиця Радіальна, буд. 39, Городня, 86411",+380 08 167-37-27,durdynetsvalerii@example.com
Скирда,Леонтій,,Чоловік,1942-05-17,Провізор,село Гола Пристань,"провулок Сімферопольська, буд. 48, Федорівка, 29966",+380 87 235-35-20,ggerega@example.net
Гайденко,Назар,,Чоловік,1992-04-09,Геофізик,місто Іловайськ,"провулок Дмитрія Донського, буд. 90, Попасна, 67768",030 312 94 53,bbaidak@example.com
Дробʼязко,Демид,,Чоловік,1977-09-29,Музичний редактор,місто Апостолове,"сквер Посмітного, буд. 3, Камінь-Каширський, 15393",+380 00 912-11-14,boryslav43@example.net
Шведченко,Кирило,,Чоловік,1939-08-22,Професор,хутір Шумськ,"площа Прохоровський, буд. 138 кв. 625, Залізне, 13428",000 212-87-03,nadiiareva@example.org
Сич,Богдан,,Чоловік,1945-10-14,Дантист,селище Миронівка,"проспект Митна, буд. 2, Умань, 58584",044 805 01 60,anastasiia88@example.net
Фоменко,Юстим,,Чоловік,1944-10-23,Фармацевт,селище Корець,"сквер Лунний, буд. 0 кв. 93, Соснівка , 72811",426-13-38,ielyseiievdokymenko@example.net
Петлюра,Мартин,,Чоловік,1972-08-28,Медик,місто Чернігів,"шосе Банний, буд. 6, Герца, 77011",+380 97 775-95-75,azhazhaherman@example.net
Бандера,Миколай,,Чоловік,1963-07-13,Програміст,хутір Єнакієве,"шосе Донецька, буд. 848, Тараща, 39073",053 36 74,iaryna26@example.com
Єрошенко,Онисим,,Чоловік,1977-10-14,Краєзнавець,місто Синельникове,"площа Злакова, буд. 2 кв. 081, Зіньків, 21646",+380 28 065-08-11,vhaivoronskyi@example.net
Перебийніс,Михайло,,Чоловік,2002-03-14,Палеонтолог,місто Помічна,"парк Уральська, буд. 2 кв. 552, Борислав, 67901",083 278-52-84,okhrimenkookhrim@example.net
Дрозд,Яків,,Чоловік,1974-02-01,Бізнесмен,село Токмак,"узвіз Василя Стуса, буд. 4 кв. 42, Хмільник, 09794",013 10 18,ustymdzhus@example.net
Шутько,Устим,,Чоловік,1941-02-03,Гінеколог,хутір Новодружеськ,"сквер Утьосова, буд. 33 кв. 88, Хирів, 87452",399 63 69,iaroslav75@example.net
Артеменко,Зорян,,Чоловік,1995-04-02,Будник,хутір Полонне,"набережна Дорбуду, буд. 5, Лисичанськ, 85379",+380 (74) 106-93-34,bkorbut@example.org
Шеремет,Прохір,,Чоловік,1992-03-23,Бухгалтер,село Біляївка,"вулиця Цегляна, буд. 8 кв. 0, Ківерці, 19036",+380 71 920-33-05,varfolomiizaika@example.com
Тригуб,Кирило,,Чоловік,1938-03-08,Водій,хутір Бурштин ,"провулок Учительський, буд. 09 кв. 165, Полтава, 92355",+380 65 037 19 56,ihor16@example.com
Худяк,Григорій,,Чоловік,1940-03-08,Золотар,місто Кодима,"парк Волна тупик, буд. 2 кв. 689, Кілія, 46721",+380 65 682-81-84,vasylyna18@example.org
Онуфрієнко,Едуард,,Чоловік,1998-06-28,Фермер,хутір Павлоград,"площа Штильова, буд. 84, Соснівка , 43776",+380 12 655-68-97,fprokopovych@example.org
Балабан,Гліб,,Чоловік,2002-05-11,Кінолог,село Вільнянськ,"сквер Ушакова, буд. 4, Вишгород, 38201",052 524 68 63,rdemydenko@example.com
Бакуменко,Олег,,Чоловік,1948-01-18,Астрофізик,селище Алмазна,"шосе Морехідний, буд. 4, Фастів, 08132",+380 (78) 357-20-59,olesdanko@example.org
Лавренко,Миколай,,Чоловік,1959-04-04,Патологоанатом,хутір Балаклія,"шосе Патріотична, буд. 9, Кролевець, 01766",+380 30 940-47-52,spas91@example.com
Сіробаба,Яків,,Чоловік,2005-03-14,Мірошник,хутір Сіверськ,"площа Васнецова, буд. 816, Кропивницький, 89895",098 853 68 22,kolesnychenkoillia@example.com
Шеремет,Йосип,,Чоловік,1972-09-22,Медик,місто Балаклія,"вулиця Перша, буд. 82, Бібрка, 89524",+380 26 143-00-42,pylyptokar@example.net
Лаба,Єлисей,,Чоловік,1988-05-22,Штукатур,селище Буча,"шосе Санітарна, буд. 8 кв. 8, Коломия, 89621",+380 (49) 750-38-74,khomenkodmytro@example.com
Байда,Аарон,,Чоловік,1960-05-27,Сантехнік,селище Семенівка,"набережна 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 31, Львів, 18314",000 637 27 60,liudmylaieremenko@example.net
Демʼяненко,Ілля,,Чоловік,1998-03-20,Зоолог,селище Мала Виска,"проспект Кар’єрна, буд. 64 кв. 660, Мар'їнка, 78010",069 943-09-78,hmishchenko@example.net
Данильчук,Венедикт,,Чоловік,1943-11-11,Підприємець,село Саки ,"вулиця Шоста, буд. 54, Іршава, 28895",+380 52 976 04 58,ielysaveta58@example.net
Кальченко,Микита,,Чоловік,1993-07-09,Гінеколог,хутір Яготин,"парк Черкаська, буд. 7, Красноград, 64387",+380 95 227-94-75,utsymbaliuk@example.com
